id,username,date,text,hashtags,geo
901276826198306816,burrle5,2017-08-26 02:55:14+00:00,Packing up a just in case need to leave Htx for Hurricane Harvey ...… https://www.instagram.com/p/BYPZOQ4ji_q/,,
901276066559512577,singleladieshou,2017-08-26 02:52:13+00:00,Stuck in the house because of the hurricane? Get this #FreeEbook #download Expires 8/28!… https://www.instagram.com/p/BYPawvxBEXx/,#FreeEbook #download,
901275850959618049,KellyClaunch,2017-08-26 02:51:22+00:00,Here's to Hurricane Harvey! abbyrobles_ @Houston Airport Marriott at George Bush Intercontinental https://www.instagram.com/p/BYPaqWHl_Pi/,,
901271207021916160,BoomerTexican,2017-08-26 02:32:55+00:00,Hurricane Harvey coming ashore. Heavy rain and wing gusts in Galveston County. #hurricaneharvey… https://www.instagram.com/p/BYPYjLjhrdk/,#hurricaneharvey,
901271099501137920,Clare270123,2017-08-26 02:32:29+00:00,Been surviving two hurricanes and 4 tropical storms with my baby regan! May there be more with… https://www.instagram.com/p/BYPYgOsDVSA/,,
901270741731209216,2GrkGrls,2017-08-26 02:31:04+00:00,We braved Hurricane Harvey for some amazing Japanese food!!! kukuri_houston just opened two… https://www.instagram.com/p/BYPYVngjwFq/,,
901270228830519296,NosieYogi,2017-08-26 02:29:02+00:00,"Got all our provisions on deck, so we decided to turn #hurricaneharvey into hurricane #harmony… https://www.instagram.com/p/BYPYG4_lK71/",#hurricaneharvey #harmony,
901270048949637120,Elborrachoblake,2017-08-26 02:28:19+00:00,For my shift drink I made a Pomegranate Hurricane. #stonesthrow #hurricaneharvey2017… https://www.instagram.com/p/BYPYBsVAfwI/,#stonesthrow #hurricaneharvey2017,
901267627775066113,Mr__Rutherford,2017-08-26 02:18:41+00:00,Hurricane burrz - Drinking a Lion's Share V: Anniversary Ale @Uncle Touchy's Naked Puzzle Basement - http://untp.beer/s/c495888553 #photo,#photo,
901267370022326272,bohemianone,2017-08-26 02:17:40+00:00,Shelves almost wiped clean ... everyone preparing for the hurricane! It's pretty quiet around… https://www.instagram.com/p/BYPWzaxDIFd/,,
901264855663071234,OnataFragrances,2017-08-26 02:07:40+00:00,Hurricane party with a few neighbors! Reminds me of being back home in Fort Lauderdale. @Third… https://www.instagram.com/p/BYPVqMMnUfd/,,
901263347819196417,diorgirl17,2017-08-26 02:01:41+00:00,"Me #Houston #htown #htx #mayweathermcgregor #hurricaneharvey #hurricane @Jersey Village, Texas https://www.instagram.com/p/BYPU-gBAoEQ/",#Houston #htown #htx #mayweathermcgregor #hurricaneharvey #hurricane,
901263146223976448,guttulus,2017-08-26 02:00:53+00:00,Hurricane Harvey. Hurricane Harvey. #harvey #hurricane #l4l #ff #houston #travel #traveling… https://www.instagram.com/p/BYPU2iqH0uF/,#harvey #hurricane #l4l #ff #houston #travel #traveling,
901262646778802176,Summrrgrrl,2017-08-26 01:58:54+00:00,Waiting for the Storm in my backyard #hurricane #hurricaneharvey #storm #winds #hunkerdown… https://www.instagram.com/p/BYPUqCXACq6/,#hurricane #hurricaneharvey #storm #winds #hunkerdown,
901261512588656640,nfoglass,2017-08-26 01:54:23+00:00,That hurricane in Texas ___________________________________________________ . #Damndaniel… https://www.instagram.com/p/BYPUI7IA-Ye/,#Damndaniel,
901260352926736384,MegAnne,2017-08-26 01:49:47+00:00,"Gotta walk to @3sheetsbar for the start of the hurricane party. Y'all know I'm a bourbon girl,… https://www.instagram.com/p/BYPTneVgn46/",,
901258042888527872,Panonmonterrey,2017-08-26 01:40:36+00:00,"Waiting Hurricane Harvey, Lazy weekend on Houston with my family ! en Courtyard by Marriott… https://www.instagram.com/p/BYPSkQJDuYU/",,
901256667534245888,TexasDevin,2017-08-26 01:35:08+00:00,"Rocky will ride out this hurricane in his shark. @Westside, Houston, Texas https://www.instagram.com/p/BYPR7_GjJe2/",,
901255083442229248,realtalkjunkies,2017-08-26 01:28:51+00:00,"Some of y’all done bought 100 24-packs of water for Hurricane Harvey, but don’t even drink water to hydrate yourself throughout the week",,
901253744448479232,TSHANIW,2017-08-26 01:23:31+00:00,Pre #storm #hurricane #shennanigans last night. Girl fun #godmother #momma #friends motherofyou… https://www.instagram.com/p/BYPQnFpn_on/,#storm #hurricane #shennanigans #godmother #momma #friends,
901253185313980416,kamelaceleste,2017-08-26 01:21:18+00:00,jussss chillin waiting for hurricane Harvey putting together workout clips • External… https://www.instagram.com/p/BYPQWjNjiKA/,,
901251303254315008,melissadzier,2017-08-26 01:13:49+00:00,What hurricane? What tornado warnings? Workout done! #wod #workout #crossfit #homegym… https://www.instagram.com/p/BYPPgCYHGKC/,#wod #workout #crossfit #homegym,
